INSTNM,LONGITUD,LATITUDE
College of Business and Technology-Flagler,-80.329161,25.769052
College of Business and Technology-Hialeah,-80.302213,25.867003
College of Business and Technology-Kendall,-80.365511,25.68551
College of Business and Technology-Miami Gardens,-80.284651,25.92456
College of Central Florida,-82.175692,29.166079
College of Charleston,-79.937251,32.783142
College of Coastal Georgia,-81.486086,31.182741
College of Cosmetology,-121.769827,42.227022
College of Court Reporting Inc,-87.260287,41.521248
College of DuPage,-88.071635,41.841577
College of Hair Design,-92.323842,42.478333
College of Hair Design Careers,-122.981953,44.949983
College of Hair Design-Downtown,-96.705118,40.811227
College of Hair Design-East Campus,-96.597358,40.734543
College of Health Care Professions-Northwest,-95.451644,29.797408
College of International Esthetics Inc,-105.075931,39.79046
College of Lake County,-88.012392,42.355881
College of Marin,-122.549936,37.955014
College of Massage Therapy,-112.347397,43.193167
College of Menominee Nation,-88.627005,44.858914
College of Micronesia-FSM,158.209231,6.95525
College of Mount Saint Vincent,-73.907019,40.912814
College of Our Lady of the Elms,-72.601541,42.14179
College of Saint Benedict,-94.31902,45.558609
College of Saint Elizabeth,-74.436039,40.781061
College of Saint Mary,-96.020209,41.240879
College of San Mateo,-122.336078,37.534357
College of Southern Idaho,-114.474373,42.58148
College of Southern Maryland,-77.009328,38.559648
College of Southern Nevada,-115.233784,36.158443
College of St Joseph,-73.007033,43.599777
College of Staten Island CUNY,-74.148701,40.603949
College of the Albemarle,-76.219606,36.324824
College of the Atlantic,-68.228849,44.399584
College of the Canyons,-118.569524,34.403121
College of the Desert,-116.38761,33.732484
College of the Holy Cross,-71.808627,42.238942
College of the Mainland,-94.999739,29.395514
College of the Marshall Islands,171.378442,7.10274
College of the Muscogee Nation,-95.959574,35.645749
College of the Ouachitas,-92.821416,34.378745
College of the Ozarks,-93.238174,36.616019
College of the Redwoods,-124.195075,40.696744
College of the Sequoias,-119.314775,36.322957
College of the Siskiyous,-122.389166,41.413848
College of Western Idaho,-116.507314,43.614106
College of William and Mary,-76.709417,37.271997
College of Wilmington,-77.906111,34.21396
CollegeAmerica-Cheyenne,-104.827868,41.175818
CollegeAmerica-Colorado Springs,-104.760241,38.840858
CollegeAmerica-Denver,-104.94118,39.691571
CollegeAmerica-Flagstaff,-111.65739,35.194607
CollegeAmerica-Fort Collins,-105.092393,40.568371
CollegeAmerica-Phoenix,-112.119891,33.57415
Collin County Community College District,-96.63894,33.16241
Collins College,-111.98646,33.40334
Collins School of Cosmetology,-83.7152,36.605544
Colorado Academy of Veterinary Technology,-104.789862,38.794422
Colorado Christian University,-105.094836,39.711701
Colorado College,-104.82422,38.84657
Colorado Heights University,-105.028197,39.661853
Colorado Media School,-105.080902,39.737325
Colorado Mesa University,-108.540281,39.076354
Colorado Mountain College,-107.324401,39.54634
Colorado Northwestern Community College,-108.790296,40.080745
Colorado School of Healing Arts,-105.082055,39.696991
Colorado School of Mines,-105.227148,39.75079
Colorado School of Trades,-105.103945,39.741009
Colorado School of Traditional Chinese Medicine,-104.959476,39.739101
Colorado State University-Fort Collins,-105.08083,40.574759
Colorado State University-Global Campus,-104.898231,39.60862
Colorado State University-Pueblo,-104.579846,38.309219
Colorado State University-System Office,-104.988532,39.744169
Colorado Technical University-Colorado Springs,-104.833928,38.894265
Colorado Technical University-Greenwood Village,-104.838721,39.65965
Colorado Technical University-Online,-104.834211,38.893735
Colorado Technical University-Sioux Falls,-96.77356,43.496937
Colton-Redlands-Yucaipa Regional Occupational Program,-117.204741,34.06829
Columbia Academy of Cosmetology,-81.080395,33.998242
Columbia Area Career Center,-92.33669,38.903705
Columbia Basin College,-119.118609,46.251547
Columbia Central University-Caguas,-66.028097,18.2263
Columbia Central University-Yauco,-66.849264,18.036257
Columbia College,-77.435116,38.836958
Columbia College,-77.231454,38.878307
Columbia College,-81.001369,34.062923
Columbia College,-92.326544,38.957899
Columbia College,-120.387603,38.030361
Columbia College of Nursing,-87.917831,43.09824
Columbia College-Chicago,-87.624554,41.873589
Columbia College-Hollywood,-118.538394,34.179596
Columbia Gorge Community College,-121.190197,45.590724
Columbia Institute,-77.081261,39.05573
Columbia International University,-81.069502,34.081233
Columbia Southern University,-87.652505,30.330964
Columbia State Community College,-87.101917,35.616757
Columbia Theological Seminary,-84.282978,33.764108
Columbia University in the City of New York,-73.961885,40.808286
Columbia-Greene Community College,-73.787809,42.23018
Columbiana County Career and Technical Center,-80.748402,40.764237
Columbus College of Art and Design,-82.988548,39.965767
Columbus State Community College,-82.987654,39.969976
Columbus State University,-84.940796,32.501556
Columbus Technical College,-84.979348,32.505697
Comanche Nation College,-98.400851,34.58961
Commonwealth Institute of Funeral Service,-95.43016,29.98955
Commonwealth Technical Institute,-78.947916,40.304332
Community Care College,-95.905178,36.101615
Community Christian College,-117.138901,34.077538
Community College of Allegheny County,-80.01855,40.450632
Community College of Aurora,-104.801861,39.717767
Community College of Beaver County,-80.305272,40.654825
Community College of Denver,-105.003007,39.74142
Community College of Philadelphia,-75.166065,39.962375
Community College of Rhode Island,-71.481509,41.712817
Community College of Vermont,-73.181863,44.491497
Community Services Division-Alliance City,-81.112757,40.912513
Community Technology Learning Center of Portage,-81.241106,41.156063
Compass Career College,-90.479708,30.476713
Compass College of Cinematic Arts,-85.667021,42.96182
Compu-Med Vocational Careers Corp,-80.306915,25.848446
Computer Systems Institute,-87.754174,42.043061
Computer Training Academy,-117.339201,34.00239
Computer Tutor Business and Technical Institute,-121.071547,37.702154
Conception Seminary College,-94.682831,40.24044
Concord University,-81.005694,37.423854
Concorde Career College-Aurora,-104.867089,39.718699
Concorde Career College-Dallas,-96.741651,32.91858
Concorde Career College-Garden Grove,-117.938395,33.774741
Concorde Career College-Grand Prairie,-97.054987,32.675399
Concorde Career College-Kansas City,-94.590066,39.068592
Concorde Career College-Memphis,-89.892093,35.112191
Concorde Career College-North Hollywood,-118.403755,34.186464
Concorde Career College-Portland,-122.649332,45.527927
Concorde Career College-San Antonio,-98.582281,29.49005
Concorde Career College-San Bernardino,-117.28398,34.06722
Concorde Career College-San Diego,-117.10187,32.70406
Concorde Career College-Southaven,-89.989101,34.97616
Concorde Career Institute-Jacksonville,-81.581821,30.23977
Concorde Career Institute-Miramar,-80.203007,26.175119
Concorde Career Institute-Orlando,-81.340391,28.55978
Concorde Career Institute-Tampa,-82.515082,27.959058
Concordia College Alabama,-87.023531,32.42443
Concordia College at Moorhead,-96.765567,46.859423
Concordia College-New York,-73.82212,40.94253
Concordia Seminary,-90.312041,38.63816
Concordia Theological Seminary,-85.109752,41.139365
Concordia University-Ann Arbor,-83.682676,42.274723
Concordia University-Chicago,-87.810009,41.898574
Concordia University-Irvine,-117.81063,33.6535
Concordia University-Nebraska,-97.089054,40.914853
Concordia University-Portland,-122.637944,45.568242
Concordia University-Saint Paul,-93.154971,44.9502
Concordia University-Texas,-97.836247,30.420952
Concordia University-Wisconsin,-87.916628,43.254217
Conlee's College of Cosmetology,-99.150036,30.054852
Conlee's College of Cosmetology-Conlee's College of Barbering,-99.178701,30.06771
Connecticut Center for Massage Therapy-Groton,-72.042638,41.347074
Connecticut Center for Massage Therapy-Newington,-72.710705,41.685072
Connecticut Center for Massage Therapy-Westport,-73.367835,41.133507
Connecticut College,-72.107321,41.379833
Connecticut Institute of Hair Design,-72.9558,41.555644
Connors State College,-95.318245,35.493251
Conservatory of Recording Arts and Sciences,-111.889544,33.407853
Consolidated School of Business-Lancaster,-76.361945,40.042607
Consolidated School of Business-York,-76.757374,39.985207
Continental Academie of Hair Design-Hudson,-71.444744,42.776588
Continental School of Beauty Culture-Batavia,-78.193,43.0013
Continental School of Beauty Culture-Buffalo,-78.83,42.958227
Continental School of Beauty Culture-Mattydale,-76.148481,43.1063
Continental School of Beauty Culture-Olean,-78.430287,42.086025
Continental School of Beauty Culture-Rochester,-77.627186,43.086371
Continental School of Beauty Culture-West Seneca,-78.754766,42.828946
Contra Costa College,-122.342386,37.968623
Contra Costa Community College District Office,-122.134774,38.018943
Converse College,-81.918829,34.956232
Conway School of Landscape Design,-72.686919,42.506313
Cooper Health System Center for Allied Health Education,-75.116469,39.941522
Cooper Union for the Advancement of Science and Art,-73.990516,40.72938
Copiah-Lincoln Community College,-90.399133,31.69006
Copper Mountain Community College,-116.213939,34.140464
Coppin State University,-76.658547,39.310786
Corban University,-122.958413,44.88408
Corinth Academy of Cosmetology,-88.520546,34.934036
Cornell College,-91.425435,41.925982
Cornell University,-76.483489,42.447199
Cornerstone University,-85.595602,42.979044
Corning Community College,-77.073708,42.11724
Cornish College of the Arts,-122.33614,47.617883
Cortiva Institute-Boston,-71.190748,42.361656
Cortiva Institute-Chicago,-87.627383,41.882431
Cortiva Institute-Florida,-82.688959,27.839722
Cortiva Institute-Florida-Texas Center for Massage Therapy,-97.119031,32.6769
Cortiva Institute-New Jersey,-74.09713,40.15056
Cortiva Institute-Pennsylvania School of Muscle Therapy,-75.378356,40.08063
Cortiva Institute-Scottsdale,-111.908433,33.466554
Cortiva Institute-Seattle,-122.306314,47.320315
Cortiva Institute-Seattle,-122.332042,47.622787
Cortiva Institute-Tucson,-110.856785,32.21901
Cosmetic Arts Institute,-80.639021,32.89577
Cosmetology & Spa Academy,-88.294087,42.24918
Cosmetology Academy of Texarkana,-94.132291,33.4565
Cosmetology Career Center LLC,-96.843526,32.973328
Cosmetology Career Institute,-96.107808,33.119311
Cosmetology Careers Unlimited College of Hair Skin and Nails,-92.923517,47.41989
Cosmetology Careers Unlimited College of Hair Skin and Nails,-92.099721,46.785732
Cosmetology College of Franklin County,-90.980902,38.344003
Cosmetology School of Arts and Science LLC,-113.792788,42.546938
Cosmetology Training Center,-92.0381,30.209106
Cosmix School of Makeup Artistry,-80.146529,26.170084
Cosmo Beauty Academy,-121.401359,38.629674
Cosmo Factory Cosmetology Academy,-122.023831,36.96782
Cosmopolitan Beauty and Tech School,-76.806415,39.285191
Cosmopolitan Beauty and Tech School,-77.189258,38.832341
Cosmotech School of Cosmetology,-70.369991,43.67598
Cossatot Community College of the University of Arkansas,-94.3673,34.043389
Cosumnes River College,-121.422971,38.453836
Cottey College,-94.371311,37.836127
County College of Morris,-74.577509,40.853428
Court Reporting Institute of Dallas,-96.86576,32.822222
Court Reporting Institute of St Louis,-90.335741,38.64829
Covenant College,-85.37496,34.963327
Covenant School of Nursing and Allied Health,-101.947099,33.575704
Covenant Theological Seminary,-90.451323,38.643066
Cowley County Community College,-97.041936,37.061918
Cox College,-93.290233,37.225116
Coyne College,-87.649026,41.887808
Cozmo Beauty School,-81.780807,26.330426
Crafton Hills College,-117.100826,34.038513
Cranbrook Academy of Art,-83.25124,42.568716
Crave Beauty Academy,-97.387374,37.684374
Craven Community College,-77.102232,35.111516
Crawford County Career and Technical Center Practical Nursing Program,-80.126167,41.633675
Creations College of Cosmetology,-88.742114,34.256135
Creative Images Institute of Cosmetology-North Dayton,-84.188407,39.855992
Creative Images Institute of Cosmetology-South Dayton,-84.174179,39.627019
Creative Touch Cosmetology School,-90.146111,38.33531
Credence Institute of Beauty,-91.95981,33.134128
Creighton University,-95.947029,41.265325
Crescent City Bartending School,-90.086573,29.966614
Crevier's Academy of Cosmetology Arts,-114.318951,48.201459
Criswell College,-96.778071,32.79369
Crossroads Bible College,-86.039961,39.779662
Crossroads College,-92.476297,43.997064
Crowder College,-94.363218,36.811709
Crowley's Ridge College,-90.58482,36.066239
Crowley's Ridge Technical Institute,-90.767807,35.041908
Crown College,-93.743015,44.885372
CRU Institute,-118.029219,33.790054
Cuesta College,-120.741624,35.329859
Culinary Institute Inc,-95.378633,29.823623
Culinary Institute of America,-73.931833,41.746225
Culinary Tech Center,-73.999001,40.75406
Culpeper Cosmetology Training Center,-77.994978,38.471472
Culver-Stockton College,-91.526682,40.130064
Cumberland County College,-75.054685,39.438417
Cumberland University,-86.29966,36.204243
CUNY Bernard M Baruch College,-73.983417,40.740238
CUNY Borough of Manhattan Community College,-74.011826,40.71879
CUNY Bronx Community College,-73.909742,40.857185
CUNY Brooklyn College,-73.95312,40.631912
CUNY City College,-73.95055,40.819794
CUNY Graduate School and University Center,-73.983575,40.748503
CUNY Hostos Community College,-73.927363,40.817601
CUNY Hunter College,-73.964795,40.768669
CUNY John Jay College of Criminal Justice,-73.988874,40.770917
CUNY Kingsborough Community College,-73.934779,40.576446
CUNY LaGuardia Community College,-73.935057,40.7445
CUNY Lehman College,-73.894627,40.873928
CUNY Medgar Evers College,-73.957076,40.666256
CUNY New York City College of Technology,-73.987856,40.695483
CUNY Queens College,-73.815387,40.737771
CUNY Queensborough Community College,-73.754548,40.754858
CUNY School of Law,-73.943992,40.746366
CUNY System Office,-73.947836,40.77137
CUNY York College,-73.794586,40.702661
Curry College,-71.114007,42.240616
Curtis Institute of Music,-75.170127,39.948491
Curve Metric School of Hair Design,-87.818661,41.93755
Cutter's Edge School of Cosmetology,-96.734872,35.986857
Cuyahoga Community College District,-81.66964,41.493981
Cuyahoga Valley Career Center,-81.625375,41.344555
Cuyamaca College,-116.941044,32.743072
CVPH Medical Center School of Radiologic Technology,-73.469773,44.699991
CyberTex Institute of Technology,-97.702881,30.32448
Cypress College,-118.023889,33.827625
D & L Academy of Hair Design,-114.469421,42.5558
D A Dorsey Technical College,-80.225644,25.839659
D'Jay's School of Beauty Arts and Sciences,-91.071568,30.462232
D'Mart Institute,-66.295454,18.18415
D'Youville College,-78.890369,42.902263
Dabney S Lancaster Community College,-79.85179,37.812546
Dade Medical College-Hollywood,-80.226361,26.024442
Dade Medical College-Homestead,-80.477041,25.47092
Dade Medical College-Jacksonville,-81.550041,30.3257
Dade Medical College-Miami,-80.251348,25.779312
Dade Medical College-Miami Lakes,-80.296181,25.92237
Dade Medical College-West Palm Beach,-80.114371,26.63903
Daemen College,-78.789025,42.965024
Dakota College at Bottineau,-100.441103,48.832505
Dakota County Technical College,-93.079346,44.738929
Dakota State University,-97.109609,44.0127
Dakota Wesleyan University,-98.030566,43.695995
Dallas Baptist University,-96.947006,32.710017
Dallas Barber & Stylist College,-96.737017,32.909897
Dallas Christian College,-96.887124,32.913698
Dallas County Community College District,-96.80621,32.780391
Dallas Institute of Funeral Service,-96.683412,32.771374
Dallas Nursing Institute,-96.734878,32.9138
Dallas Theological Seminary,-96.779957,32.7943
Dalton State College,-85.00289,34.77496
Dance Theatre of Harlem Inc,-73.943833,40.829191
Daniel Webster College,-71.514293,42.776362
Danville Area Community College,-87.586347,40.128466
Danville Community College,-79.40855,36.565714
Danville Regional Medical Center School of Health Professions,-79.405414,36.578155
Daoist Traditions College of Chinese Medical Arts,-82.568537,35.606831
Dartmouth College,-72.289951,43.70408
Darton State College,-84.212087,31.583594
Davenport University,-85.529655,42.849713
David Pressley School of Cosmetology,-83.146008,42.479729
David's Academy of Beauty,-118.087264,34.002705
Davidson College,-80.845236,35.500006
Davidson County Community College,-80.181739,35.865541
Davis & Elkins College,-79.846391,38.928693
Davis Applied Technology College,-111.925227,41.028956
Davis College,-83.629891,41.693064
Davis College,-75.962421,42.101092
Dawn Career Institute Inc,-75.594268,39.754694
Dawson Community College,-104.725241,47.085225
Day Spa Career College,-88.762255,30.409958
Daymar College-Bellevue,-84.481993,39.084046
Daymar College-Bowling Green,-86.475007,36.964788
Daymar College-Chillicothe,-83.0027,39.362601
Daymar College-Jackson,-82.626544,39.034848
Daymar College-Lancaster,-82.652356,39.749383
Daymar College-Louisville,-85.517695,38.291923
Daymar College-Louisville,-85.684344,38.156239
Daymar College-Madisonville,-87.489771,37.35598
Daymar College-New Boston,-82.937763,38.751229
Daymar College-Online,-85.684637,38.157391
Daymar College-Owensboro,-87.143786,37.737809
Daymar College-Paducah Main,-88.632439,37.067612
Daymar Institute-Clarksville,-87.314033,36.584261
Daymar Institute-Murfreesboro,-86.40237,35.815421
Daymar Institute-Nashville,-86.672121,36.14609
Dayton Barber College,-84.22316,39.62815
Dayton School of Medical Massage,-84.169069,39.682757
Daytona College,-81.080155,29.270088
Daytona State College,-81.051266,29.202286
DCI Career Institute,-80.31401,40.674255
De Anza College,-122.045365,37.319176
De Wolff College Hair Styling and Cosmetology,-106.532675,35.09625
Dean College,-71.399003,42.08497
Dean Institute of Technology,-80.015683,40.410013
Debutantes School of Cosmetology and Nail Technology,-88.751471,41.93059
Defiance College,-84.356596,41.300336
Del Mar College,-97.407627,27.763623
Delaware Area Career Center,-83.039099,40.231764
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,-75.521879,42.585469
Delaware College of Art and Design,-75.549822,39.741944
Delaware County Community College,-75.39308,39.966724
Delaware County Technical School-Practical Nursing Program,-75.368379,39.988537
Delaware Learning Institute of Cosmetology,-75.255833,38.543072
Delaware State University,-75.54053,39.187173
Delaware Technical Community College-Central Office,-75.562873,39.198144
Delaware Technical Community College-Owens,-75.40752,38.697344
Delaware Technical Community College-Stanton/Wilmington,-75.552084,39.740346
Delaware Technical Community College-Terry,-75.56012,39.198371
Delaware Valley University,-75.158202,40.29757
Delgado Community College,-90.103962,29.985149
Dell'Arte International School of Physical Theatre,-123.988878,40.880871
Delmarva Beauty Academy,-75.599933,38.338692
Delta Beauty College,-91.04523,33.37377
Delta College,-83.985943,43.559491
Delta College Inc,-90.086695,30.467468
Delta College of Arts & Technology,-91.113841,30.463619
Delta College of Arts & Technology-Lafayette Campus,-92.041851,30.15817
Delta College-Slidell Campus,-89.779447,30.286306
Delta Montrose Technical College,-108.031072,38.702524
Delta School of Business and Technology,-93.214285,30.228743
Delta State University,-90.73544,33.747586
Delta Technical College,-90.00705,34.95615
Demmons School of Beauty,-93.21874,30.222689
Denham Springs Beauty School,-90.944774,30.484636
Denison University,-82.520625,40.072582
Denmark Technical College,-81.123629,33.313355
Dental Assistant Pro LLC-Columbus,-82.942005,40.100171
Dental Assistant Pro-Lebanon,-84.190385,39.445803
Denver School of Nursing,-104.994627,39.753041
Denver Seminary,-105.022363,39.600595
Denver Seminary - Washington DC,-76.859041,38.93445
DePaul University,-87.654116,41.923332
DePauw University,-86.863556,39.63953
Dermal Science International Aesthetics and Nail Academy,-77.336921,38.94987
Dermalogica Academy,-73.994961,40.74274
Des Moines Area Community College,-93.611597,41.707348
Des Moines University-Osteopathic Medical Center,-93.661686,41.583325
DeSales University,-75.376549,40.540137
Design Institute of San Diego,-117.149808,32.731022
Design's School of Cosmetology,-120.672296,35.650028
Designer Barber & Stylist School,-94.370341,35.3594
Detroit Business Institute-Downriver,-83.189207,42.169965
DeVry College of New York,-73.983127,40.7476
DeVry University-Administrative Office,-87.954374,41.858294
DeVry University-Arizona,-112.104961,33.56572
DeVry University-California,-117.803681,34.06302
DeVry University-Colorado,-105.008901,39.91934
DeVry University-Florida,-80.339241,25.98794
DeVry University-Georgia,-84.296897,33.774971
DeVry University-Illinois,-87.691051,41.94122
DeVry University-Indiana,-87.327511,41.47242
DeVry University-Maryland,-77.091721,38.98363
DeVry University-Michigan,-83.244788,42.487451
DeVry University-Minnesota,-93.331791,44.86289
DeVry University-Missouri,-94.583901,38.92248
DeVry University-Nevada,-115.096518,36.019627
DeVry University-New Jersey,-74.44394,40.465723
DeVry University-North Carolina,-80.931971,35.13766
DeVry University-Ohio,-82.940701,39.9405
DeVry University-Oklahoma,-97.59009,35.537003
DeVry University-Oregon,-122.777681,45.51179
DeVry University-Pennsylvania,-75.17255,40.139883
DeVry University-Tennessee,-86.694521,36.08538
DeVry University-Texas,-97.011291,32.93361
DeVry University-Utah,-111.888641,40.58181
DeVry University-Virginia,-77.050211,38.85232
DeVry University-Washington,-122.288091,47.29468
DeVry University-Wisconsin,-87.906281,43.03867
Dewey University-Arroyo,-66.051963,17.974419
Dewey University-Bayamon,-66.196646,18.405851
Dewey University-Carolina,-65.958397,18.376596
Dewey University-Fajardo,-65.650722,18.329214
Dewey University-Hatillo,-66.826426,18.475864
Dewey University-Hato Rey,-66.043033,18.417614
Dewey University-Hato Rey,-66.042607,18.416771
Dewey University-Juana D’az,-66.508864,18.060017
Dewey University-Manati,-66.465036,18.447044
Dewey University-Mayaguez,-67.169434,18.225734
Diablo Valley College,-122.069861,37.968035
Diamond Beauty College,-118.046471,34.06319
Diamonds Cosmetology College,-96.606399,33.673565
Dickinson College,-77.197854,40.202796
Dickinson State University,-102.800511,46.882677
Diesel Driving Academy-Baton Rouge,-91.103813,30.464937
Diesel Driving Academy-Shreveport,-93.794921,32.47617
DigiPen Institute of Technology,-122.150181,47.68938
Digital Film Academy,-73.991441,40.760002
Digital Media Arts College,-80.110711,26.39558
DiGrigoli School of Cosmetology,-72.630273,42.14632
Dillard University,-90.065348,29.996468
Diman Regional Technical Institute,-71.1315,41.6918
Dine College,-109.21684,36.293328
Divers Academy International,-74.998547,39.747821
Divers Institute of Technology,-122.340391,47.64764
Diversified Vocational College,-118.272364,34.055938
Divine Crown Academy of Cosmetology,-76.844291,40.27141
Divine Word College,-90.934917,42.441572
Dixie Applied Technology College,-113.606286,37.082803
Dixie State University,-113.565894,37.103875
DLP Conemaugh Memorial Medical Center,-78.918879,40.305323
Doane University-Arts & Sciences,-96.949656,40.623107
Doane University-Graduate and Professional Studies,-96.650758,40.815541
Dodge City Community College,-100.037275,37.777838
Dolce LLC The Academy,-73.000631,41.54245
Dominican College of Blauvelt,-73.95234,41.054111
Dominican School of Philosophy & Theology,-122.264612,37.881099
Dominican University,-87.821872,41.902834
Dominican University of California,-122.514654,37.980014
Dominion School of Hair Design,-76.493641,37.259953
Don Roberts Beauty School,-87.077998,41.472458
Don Roberts School of Hair Design,-87.508236,41.569292
Dongguk University-Los Angeles,-118.289927,34.066226
Donna's Academy of Hair Design,-94.584891,39.355841
Donnelly College,-94.65103,39.112227
Dordt College,-96.166319,43.08396
Dorsey Business Schools-Dearborn,-83.222799,42.328984
Dorsey Business Schools-Farmington Hills,-83.379921,42.49766
Dorsey Business Schools-Lansing,-84.543911,42.66692
Dorsey Business Schools-Madison Heights,-83.106727,42.526138
Dorsey Business Schools-Roseville,-82.915964,42.528654
Dorsey Business Schools-Roseville Culinary Academy,-82.91033,42.536298
Dorsey Business Schools-Saginaw,-83.975473,43.471079
Dorsey Business Schools-Southgate,-83.216005,42.21323
Dorsey Business Schools-Waterford Pontiac,-83.326164,42.644783
Dorsey Business Schools-Wayne,-83.381835,42.280701
Douglas Education Center,-79.88832,40.161692
Douglas J Aveda Institute,-84.48049,42.735042
Dowling College,-73.164816,40.746051
Downey Adult School,-118.116654,33.919441
Dragon Rises College of Oriental Medicine,-82.312769,29.667368
Drake College of Business-Elizabeth,-74.215173,40.665559
Drake College of Business-Newark,-74.171991,40.73485
Drake University,-93.654062,41.60381
Drew University,-74.425825,40.757026
Drexel University,-75.188745,39.954855
Drury University,-93.285773,37.219757
Du Bois Business College-Du Bois,-78.756002,41.124713
Du Bois Business College-Huntingdon,-78.014601,40.489917
Du Bois Business College-Oil City,-79.703491,41.424358
duCret School of Arts,-74.417412,40.604953
Duke University,-78.94226,36.00159
Duluth Business University,-92.157379,46.742888
Dunwoody College of Technology,-93.290069,44.973081
Duquesne University,-79.993046,40.437496
Durham Beauty Academy,-78.978992,35.962556
Durham Technical Community College,-78.880735,35.975202
Dutchess BOCES-Practical Nursing Program,-73.866586,41.742609
Dutchess Community College,-73.904954,41.726476
DuVall's School of Cosmetology,-97.167572,32.851015
Dyersburg State Community College,-89.390661,36.047195
E Q School of Hair Design,-95.851059,41.261088
Eagle Gate College-Layton,-111.974385,41.073341
Eagle Gate College-Murray,-111.903609,40.649984
Eagle Gate College-Salt Lake City,-111.890674,40.760084
Earlham College,-84.911464,39.822278
East Arkansas Community College,-90.767445,35.039673
East Carolina University,-77.366199,35.606347
East Central College,-90.975535,38.430296
East Central Community College,-89.108475,32.444493
East Central University,-96.664196,34.773805
East Georgia State College,-82.308486,32.59577
East Georgia State College-Augusta,-82.022866,33.478241
East Georgia State College-Statesboro,-81.825645,32.392075
East Los Angeles College,-118.148384,34.039205
East Mississippi Community College,-88.483516,32.830246
East San Gabriel Valley Regional Occupational Program,-117.937111,34.077138
East Stroudsburg University of Pennsylvania,-75.172614,40.99622
East Tennessee State University,-82.366734,36.304077
East Texas Baptist University,-94.374337,32.554545
East Valley Institute of Technology,-111.865465,33.414755
East West College of Natural Medicine,-82.551571,27.368451
East West College of the Healing Arts,-122.660367,45.528658
East-West Healing Arts Institute,-89.491041,43.056
East-West University,-87.624793,41.871309
Eastern Arizona College,-109.761664,32.840719
Eastern Center for Arts and Technology,-75.109688,40.158544
Eastern College of Health Vocations-Little Rock,-92.341981,34.75126
Eastern College of Health Vocations-New Orleans,-90.181626,29.943613
Eastern Connecticut State University,-72.218753,41.721673
Eastern Florida State College,-80.75813,28.384791
Eastern Gateway Community College,-80.672408,40.376175
Eastern Hills Academy of Hair Design,-84.344615,39.072727
Eastern Idaho Technical College,-111.984645,43.4818
Eastern Illinois University,-88.175505,39.483017
Eastern International College-Belleville,-74.220373,40.76388
Eastern International College-Jersey City,-74.060012,40.735006
Eastern Iowa Community College District,-90.577164,41.52028
Eastern Kentucky University,-84.301356,37.740396
Eastern Maine Community College,-68.74445,44.826048
Eastern Mennonite University,-78.876077,38.478611
Eastern Michigan University,-83.624499,42.245751
Eastern Nazarene College,-71.011238,42.271214
Eastern New Mexico University-Main Campus,-103.348046,34.179015
Eastern New Mexico University-Roswell Campus,-104.524336,33.3139
Eastern New Mexico University-Ruidoso Campus,-105.66539,33.358631
Eastern Oklahoma County Technology Center,-97.266991,35.516891
Eastern Oklahoma State College,-95.327682,34.913336
Eastern Oregon University,-118.09384,45.320392
Eastern School of Acupuncture and Traditional Medicine,-74.196611,40.79375
Eastern Shore Community College,-75.750802,37.64046
Eastern Suffolk BOCES,-73.110608,40.745205
Eastern Suffolk BOCES,-72.671979,40.927872
Eastern Suffolk BOCES,-73.00833,40.780472
Eastern University,-75.370268,40.052306
Eastern Virginia Career College,-77.495581,38.24116
Eastern Virginia Medical School,-76.300768,36.861681
Eastern Washington University,-117.589371,47.491293
Eastern West Virginia Community and Technical College,-78.93209,39.07539
Eastern Wyoming College,-104.190823,42.079354
Eastfield College,-96.65947,32.815679
Eastland-Fairfield Career and Technical Schools,-82.884305,39.88667
Eastwick College-Hackensack,-74.040491,40.885847
Eastwick College-Nutley,-74.144192,40.810742
Eastwick College-Ramsey,-74.131486,41.057866
Ecclesia College,-94.236643,36.2141
Eckerd College,-82.685992,27.718996
eClips School of Cosmetology and Barbering,-89.547135,37.305615
Ecotech Institute,-104.827081,39.69125
ECPI University,-76.178775,36.842533
Ecumenical Theological Seminary,-83.055551,42.34395
Eden Theological Seminary,-90.345605,38.592307
Edgecombe Community College,-77.571786,35.879867
Edgewood College,-89.422122,43.058727
EDIC College,-66.025215,18.242426
Edinboro University of Pennsylvania,-80.126363,41.869978
Edison State Community College,-84.212558,40.157997
EDMC Central Administrative Office,-79.999811,40.44203
Edmonds Community College,-122.327483,47.816742
EDP School of Computer Programming,-73.952901,40.58605
EDP Univeristy of Puerto Rico Inc-San Juan,-66.055403,18.415375
EDP University of Puerto Rico Inc-San Sebastian,-66.990909,18.334858
Education and Technology Institute,-79.501924,40.310893
Educational Technical College-Recinto de Bayamon,-66.159092,18.395254
Educational Technical College-Recinto de Coamo,-66.364369,18.081816
Educational Technical College-Recinto de san Sebastian,-66.988634,18.338411
Educators of Beauty College of Cosmetology-La Salle,-89.098246,41.328509
Educators of Beauty College of Cosmetology-Rockford,-88.998211,42.29885
Educators of Beauty College of Cosmetology-Sterling,-89.692686,41.788153
Edward Via College of Osteopathic Medicine,-80.406021,37.199666
Edward Waters College,-81.684817,30.34513
EHOVE Career Center,-82.62922,41.333161
EINE Inc,-71.220396,42.598033
El Camino College-Compton Center,-118.209186,33.876665
El Camino Community College District,-118.326623,33.885586
El Centro College,-96.805361,32.779817
