INSTNM,LONGITUD,LATITUDE
Akron School of Practical Nursing,-81.514573,41.066218
Alabama A & M University,-86.568502,34.783368
Alabama College of Osteopathic Medicine,-85.340726,31.206182
Alabama Southern Community College,-87.326352,31.488925
Alabama State College of Barber Styling,-86.809881,33.64352
Alabama State University,-86.295677,32.364317
Alamance Community College,-79.357657,36.066683
Alamo City Barber College,-98.639733,29.525061
Alamo Community College District Central Office,-98.497566,29.415673
Alaska Bible College,-149.111341,61.59843
Alaska Career College,-149.856954,61.181443
Alaska Christian College,-151.136005,60.490459
Alaska Pacific University,-149.804242,61.191235
Albany BOCES-Adult Practical Nursing Program,-73.836922,42.74311
Albany College of Pharmacy and Health Sciences,-73.778132,42.652559
Albany Law School,-73.777692,42.651264
Albany Medical College,-73.773975,42.653178
Albany State University,-84.14306,31.571395
Albany Technical College,-84.174284,31.55434
Albert I Prince Technical High School,-72.705991,41.74174
Albertus Magnus College,-72.923848,41.332519
Albion College,-84.746088,42.244603
Albright College,-75.910152,40.360248
Alcorn State University,-91.142854,31.877216
Alderson Broaddus University,-80.047728,39.158067
Alexander Academy,-71.812241,42.58544
Alexander Paul Institute of Hair Design,-77.372255,35.605276
Alexandria School of Scientific Therapeutics,-85.674191,40.255464
Alexandria Technical & Community College,-95.371579,45.868592
Alfred University,-77.788625,42.255866
Alhambra Beauty College,-118.129041,34.093916
Alice Lloyd College,-82.875068,37.335087
All Beauty College,-114.337955,34.496283
All Beauty College,-114.027241,35.239421
All Beauty College,-114.59783,35.02068
All-State Career School-Allied Health Campus,-75.302404,39.866573
All-State Career School-Lester,-75.280691,39.868236
All-State Career School-Pittsburgh,-79.828242,40.396915
All-State Career-Baltimore,-76.544942,39.264664
Allan Hancock College,-120.421486,34.942979
Allegany College of Maryland,-78.729766,39.652658
Allegheny College,-80.146922,41.648068
Allegheny Wesleyan College,-80.860091,40.867236
Allen College,-92.338018,42.531427
Allen County Community College,-95.39681,37.937698
Allen School-Brooklyn,-73.991546,40.693797
Allen School-Jamaica,-73.796295,40.704694
Allen School-Phoenix,-112.117361,33.62946
Allen University,-81.020045,34.010348
Alliance Computing Solutions,-73.831481,40.76156
Alliant International University-San Diego,-117.094398,32.897056
Allied American University,-117.729441,33.62312
Allstate Hairstyling & Barber College,-81.704451,41.48406
Alma College,-84.670073,43.379236
Alpena Community College,-83.445069,45.081647
Altoona Beauty School Inc,-78.387287,40.501795
Alvareitas College of Cosmetology-Belleville,-90.032984,38.545956
Alvareitas College of Cosmetology-Edwardsville,-89.953398,38.80781
Alvareitas College of Cosmetology-Godfrey,-90.191309,38.927728
Alvernia University,-75.938163,40.3102
Alverno College,-87.965498,42.983518
Alvin Community College,-95.241078,29.396581
Amarillo College,-101.847104,35.18841
Amberton University,-96.653028,32.859937
Ambiance Beauty & Barber Academy Inc,-80.672628,28.117854
Ambria College of Nursing,-88.210415,42.07543
American Academy McAllister Institute of Funeral Service,-73.993782,40.769031
American Academy of Acupuncture and Oriental Medicine,-93.181424,45.015783
American Academy of Art,-87.624396,41.877824
American Academy of Cosmetology,-81.798751,30.12369
American Academy of Cosmetology-Delray Beach,-80.119201,26.46102
American Academy of Dramatic Arts-Los Angeles,-118.344097,34.095315
American Academy of Dramatic Arts-New York,-73.984843,40.745545
American Academy of Personal Training,-73.998971,40.73785
American Academy of Personal Training-Boston Campus,-71.076281,42.35069
American Advanced Technicians Institute,-80.323025,25.884901
American Baptist College,-86.789301,36.201155
American Baptist Seminary of the West,-122.256149,37.865252
American Beauty Academy,-111.733241,40.04316
American Beauty Academy,-77.0519,39.035463
American Beauty College,-118.125036,33.884391
American Beauty School,-73.86071,40.835231
American Broadcasting School-Arlington,-97.061973,32.753208
American Broadcasting School-Oklahoma City,-97.436129,35.43527
American Broadcasting School-Online Program,-97.436177,35.435286
American Business and Technology University,-94.820001,39.77911
American Career College-Anaheim,-117.975644,33.849876
American Career College-Long Beach,-118.190168,33.770473
American Career College-Los Angeles,-118.292282,34.079236
American Career College-Lynwood,-118.201182,33.931919
American Career College-Ontario,-117.583814,34.068204
American College for Medical Careers,-81.402904,28.470194
American College of Acupuncture and Oriental Med,-95.524522,29.735747
American College of Barbering,-85.667722,38.086353
American College of Education,-86.160141,39.76982
American College of Financial Services,-75.326655,40.018084
American College of Hair Design Inc,-93.253073,38.699237
American College of Hairstyling-Cedar Rapids,-91.733905,41.967378
American College of Hairstyling-Des Moines,-93.610649,41.592188
American College of Healthcare,-118.225099,33.978888
American College of Healthcare,-117.493808,33.900487
American College of Healthcare Sciences,-122.675831,45.48682
American College of Traditional Chinese Medicine,-122.398242,37.760503
American Conservatory Theater,-122.404945,37.787326
American Educational College,-66.146866,18.396942
American Film Institute Conservatory,-118.309989,34.10846
American Hair Academy,-91.525508,40.96244
American Health Institute,-82.702215,28.305144
American Indian College Inc,-112.092247,33.577738
American Indian OIC Inc,-93.246166,44.961993
American Institute of Alternative Medicine,-82.988733,40.102442
American Institute of Beauty,-82.749094,27.915072
American Institute of Interior Design,-111.715091,33.60485
American Institute of Massage Therapy,-117.85027,33.715851
American Institute of Medical Sciences & Education,-74.437251,40.56114
American Institute of Medical Sonography,-115.178061,36.14634
American Institute of Medical Technology,-95.923639,36.061988
American Institute of Pharmaceutical Technology,-74.052481,40.88312
American Institute of Pharmaceutical Technology - Polifly,-74.059771,40.87571
American Institute of Technology,-112.175304,33.442262
American Institute-Clifton,-74.130171,40.873434
American Institute-Margate,-80.194764,26.244517
American Institute-Toms River,-74.220531,40.04455
American Institute-West Hartford,-72.725762,41.727016
American InterContinental University-Atlanta,-84.355243,33.936128
American InterContinental University-Houston,-95.548309,29.728221
American InterContinental University-Online,-88.032611,42.03314
American InterContinental University-South Florida,-80.367098,26.089678
American International College,-72.558507,42.112708
American Islamic College,-87.646781,41.95494
American Jewish University,-118.471764,34.128099
American Medical Academy,-80.393315,25.66186
American Medical Sciences Center,-118.257031,34.14705
American Musical and Dramatic Academy,-73.982249,40.780142
American National College,-95.506291,29.984721
American National College,-95.211036,29.665461
American National University,-80.023597,37.299714
American National University-Canton,-81.434121,40.84987
American National University-Cincinnati,-84.473719,39.190562
American National University-Columbus,-82.945951,40.084811
