"Official.Name","n","LONGITUDE","LATITUDE","College.Univ","X","X.1","Player","Year","Rnd","Pos"
"Arkansas State University-Main Campus",17,"-90.680478","35.842779","Arkansas St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/317px-Arkansas_State_Red_Wolves_wordmark.svg.png","Tyrell Johnson",2008,2,"DB"
"Arkansas State University-Main Campus",17,"-90.680478","35.842779","Arkansas St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/317px-Arkansas_State_Red_Wolves_wordmark.svg.png","Demario Davis",2012,3,"LB"
"Arkansas State University-Main Campus",17,"-90.680478","35.842779","Arkansas St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/317px-Arkansas_State_Red_Wolves_wordmark.svg.png","Ryan Carrethers",2014,5,"DT"
"Arkansas State University-Main Campus",17,"-90.680478","35.842779","Arkansas St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/317px-Arkansas_State_Red_Wolves_wordmark.svg.png","Alex Carrington",2010,3,"DE"
"Ashland University",1,"-82.320621","40.860987","Ashland",NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Ashland_Eagles_logo.svg/198px-Ashland_Eagles_logo.svg.png","Jeris Pendleton",2012,7,"DT"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Lee Ziemba",2011,7,"T"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Gabe Wright",2015,4,"DT"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Cadillac Williams",2005,1,"RB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Jonathan Wilhite",2008,4,"DB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","C.J. Uzomah",2015,5,"TE"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Courtney Taylor",2007,6,"WR"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Ben Tate",2010,2,"RB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Pat Sims",2008,3,"DT"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Carlos Rogers",2005,1,"DB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Greg Robinson",2014,1,"T"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Jay Ratliff",2005,7,"DE"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Jay Prosch",2014,6,"FB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Ben Obomanu",2006,7,"WR"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Cam Newton",2011,1,"QB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Brandon Mosley",2012,4,"T"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Marcus McNeill",2006,2,"T"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Walter McFadden",2010,5,"DB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Stanley McClover",2006,7,"DE"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Tre Mason",2014,3,"RB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Corey Lemonier",2013,3,"DE"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Patrick Lee",2008,2,"DB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","David Irons",2007,6,"DB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Will Herring",2007,5,"LB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Ben Grubbs",2007,1,"G"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Quentin Groves",2008,2,"DE"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Dee Ford",2014,1,"LB"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","Nick Fairley",2011,1,"DT"
"Auburn University",114,"-85.482782","32.604685","Auburn",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png","King Dunlap",2008,7,"T"
