Central Michigan,Central Michigan University,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Central_Michigan_Chippewas_logo.svg/150px-Central_Michigan_Chippewas_logo.svg.png
Central Missouri St.,University of Central Missouri,,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Central_Missouri_Athletics_logo.svg/200px-Central_Missouri_Athletics_logo.svg.png
Central Oklahoma,University of Central Oklahoma,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/UCO_logo.svg/200px-UCO_logo.svg.png
Central State (OH),Central State University,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Central_State_University_Presidential_Seal.png/150px-Central_State_University_Presidential_Seal.png
Chadron St.,Chadron State College,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/CSC_Eagles.png/200px-CSC_Eagles.png
Chattanooga,The University of Tennessee-Chattanooga,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Chattanooga_Mocs_logo.svg/200px-Chattanooga_Mocs_logo.svg.png
Cincinnati,University of Cincinnati-Main Campus,,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Cincinnati_Bearcats.svg/100px-Cincinnati_Bearcats.svg.png
Citadel,Citadel Military College of South Carolina,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/The_Citadel_Athletics_script.svg/150px-The_Citadel_Athletics_script.svg.png
Clemson,Clemson University,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Clemson_University_Tiger_Paw_logo.svg/150px-Clemson_University_Tiger_Paw_logo.svg.png
Coastal Carolina,Coastal Carolina University,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Coastal_Carolina_Chanticleers_logo.svg/200px-Coastal_Carolina_Chanticleers_logo.svg.png
Colorado,University of Colorado Boulder,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Colorado_Buffaloes_wordmark.svg/200px-Colorado_Buffaloes_wordmark.svg.png
Colorado St.,Colorado State University-Fort Collins,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Colorado_State_Rams_wordmark.png/250px-Colorado_State_Rams_wordmark.png
Columbia,Columbia University in the City of New York,,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Columbia_Lions_football_logo.png/200px-Columbia_Lions_football_logo.png
Concordia-St.Paul (MN),Concordia University-Saint Paul,,https://upload.wikimedia.org/wikipedia/en/c/c8/ConcordiaGoldenBears.png
Connecticut,University of Connecticut,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Connecticut_Huskies_wordmark.svg/250px-Connecticut_Huskies_wordmark.svg.png
Connecticut State,Central Connecticut State University,,
Cornell,Cornell University,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Cornell_%22C%22_logo.svg/100px-Cornell_%22C%22_logo.svg.png
Dartmouth,Dartmouth College,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Dartmouth_Big_Green.svg/107px-Dartmouth_Big_Green.svg.png
Delaware,University of Delaware,,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Delaware_Fightin%27_Blue_Hens_Logo.svg/150px-Delaware_Fightin%27_Blue_Hens_Logo.svg.png
Delaware St.,Delaware State University,,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/DelawareStateHornets.png/150px-DelawareStateHornets.png
Delta St.,Delta College,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Delta_State_Athletics_logo.png/90px-Delta_State_Athletics_logo.png
Duke,Duke University,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Duke_text_logo.svg/125px-Duke_text_logo.svg.png
East Carolina,East Carolina University,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/East_Carolina_Pirates_wordmark.png/200px-East_Carolina_Pirates_wordmark.png
